Date,Open,High,Low,Close,Adj Close,Volume
7/12/2012,22420,22520,21820,21820,17164.6582,24858600
7/13/2012,21920,22880,21820,22780,17919.83203,27070750
7/16/2012,22900,23100,22660,23040,18124.36914,15261950
7/17/2012,22960,23560,22720,23360,18376.0957,15885300
7/18/2012,23580,23700,22760,23080,18155.83789,14618050
7/19/2012,23600,24040,23440,23900,18800.87891,24847100
7/20/2012,24040,24060,23820,23820,18737.95703,11992100
7/23/2012,23300,23400,23100,23240,18281.69336,12844350
7/24/2012,23300,23500,23180,23400,18407.5625,14598050
7/25/2012,23060,23440,22780,23160,18218.76563,13609850
7/26/2012,23380,23480,23200,23440,18439.02539,13654750
7/27/2012,23900,24660,23820,24660,19398.73633,26686200
7/30/2012,25200,25560,25020,25500,20059.52148,19113350
7/31/2012,25600,26680,25500,26180,20594.44727,33735650
8/1/2012,25840,26300,25660,26000,20452.83984,19039100
8/2/2012,26000,26080,25220,25260,19870.72852,15951250
8/3/2012,24800,25340,24760,24860,19556.0625,15582650
8/6/2012,25700,26100,25640,25960,20421.38281,12289150
8/7/2012,26060,26080,25680,25880,20358.45117,10258400
8/8/2012,26120,26560,26020,26400,20767.50195,19459150
8/9/2012,26420,26960,26360,26800,21082.16797,30612650
8/10/2012,26700,26960,26600,26960,21208.02148,14733250
8/13/2012,26840,26940,26460,26500,20846.16992,9891050
8/14/2012,26520,27000,26520,26900,21160.83008,14396850
8/16/2012,27080,27100,26760,26900,21160.83008,14824150
8/17/2012,26880,26900,25720,25900,20374.17969,27642800
8/20/2012,25400,25660,25100,25660,20185.38867,19944800
8/21/2012,25840,26040,25640,25640,20169.6582,15315200
8/22/2012,25380,25620,25140,25280,19886.45703,16031200
8/23/2012,25220,25740,24980,25740,20248.32031,13857750
8/24/2012,25400,25740,25280,25500,20059.52148,14077200
8/27/2012,23780,24060,23460,23600,18564.89258,63803450
8/28/2012,23720,24180,23600,23900,18800.87891,27767400
8/29/2012,24180,24700,24140,24600,19351.54297,23415550
8/30/2012,24560,24580,24040,24300,19115.54688,16211400
8/31/2012,24220,24680,24140,24660,19398.73633,20301300
9/3/2012,24400,24700,24020,24360,19162.74219,13903800
9/4/2012,24380,24560,24200,24360,19162.74219,9916550
9/5/2012,24100,24240,23780,23780,18706.48438,17381950
9/6/2012,24000,24060,23860,23920,18816.61719,12373750
9/7/2012,24600,25020,24400,25000,19666.19922,25512400
9/10/2012,25200,25280,25000,25000,19666.19922,15883700
9/11/2012,24800,25300,24640,25120,19760.58789,9890800
9/12/2012,25360,25900,25180,25880,20358.45117,18473250
9/13/2012,25980,26100,25620,26020,20468.57422,19489950
9/14/2012,26600,26780,26540,26720,21019.23242,24872500
9/17/2012,26720,26720,26240,26300,20688.84375,14896000
9/18/2012,26280,26720,26160,26300,20688.84375,11232300
9/19/2012,26120,26460,25960,26280,20673.10547,12114550
9/20/2012,25860,26100,25680,25740,20248.32031,14199800
9/21/2012,26000,26140,25900,26040,20484.31445,14913400
9/24/2012,26000,26560,25840,26540,20877.63867,13195450
9/25/2012,26200,26680,26200,26540,20877.63867,11348000
9/26/2012,26260,26500,26120,26500,20846.16992,12054550
9/27/2012,26540,26840,26460,26760,21050.69922,14541600
9/28/2012,27180,27200,26780,26920,21176.56836,17906350
10/2/2012,27080,27420,27040,27380,21538.41602,13376250
10/4/2012,27020,27460,26780,27340,21506.95508,19127200
10/5/2012,27740,27800,27040,27400,21554.14844,17828800
10/8/2012,27500,27580,27200,27460,21601.34766,12037600
10/9/2012,27260,27620,27260,27440,21585.61914,8788650
10/10/2012,27060,27200,26500,26500,20846.16992,12976700
10/11/2012,26200,26400,25740,26080,20515.77539,23779850
10/12/2012,26100,26240,25760,25920,20389.91602,14977250
10/15/2012,25920,26240,25740,26000,20452.83984,10334000
10/16/2012,26520,26620,26300,26600,20924.82813,10671300
10/17/2012,26840,26920,26320,26720,21019.23242,8984550
10/18/2012,26720,26820,26560,26740,21034.96484,10498450
10/19/2012,26460,26500,25980,26040,20484.31445,13969950
10/22/2012,25540,26340,25520,26300,20688.84375,11741150
10/23/2012,26380,26440,26040,26260,20657.375,9253550
10/24/2012,25940,26180,25780,26000,20452.83984,13454500
10/25/2012,25920,26440,25820,26440,20798.96875,11881100
10/26/2012,26120,26240,25740,25740,20248.32031,13793850
10/29/2012,25960,25980,25580,25980,20437.11328,11448050
10/30/2012,25980,26080,25840,25960,20421.38281,6643850
10/31/2012,26120,26240,25980,26200,20610.17383,10604850
11/1/2012,25900,26040,25800,25940,20405.64453,10455600
11/2/2012,26380,26660,26260,26540,20877.63867,18521400
11/5/2012,26560,26980,26400,26820,21097.89844,13062050
11/6/2012,26980,26980,26640,26980,21223.76172,8981800
11/7/2012,26860,27240,26700,27240,21428.28906,9676400
11/8/2012,26960,27140,26820,27000,21239.49219,15326600
11/9/2012,26700,27020,26520,26820,21097.89844,14550300
11/12/2012,26620,26940,26620,26900,21160.83008,6959250
11/13/2012,26940,26980,26520,26980,21223.76172,7325850
11/14/2012,27140,27140,26920,27100,21318.15625,10436000
11/15/2012,26700,26760,26520,26620,20940.56836,9959100
11/16/2012,26440,26520,26020,26140,20562.98047,12172550
11/19/2012,26300,26840,26260,26640,20956.30273,10137500
11/20/2012,27060,27300,26920,27280,21459.75391,13420300
11/21/2012,27520,27940,27440,27680,21774.41797,17780400
11/22/2012,27880,28380,27820,28340,22293.60156,14930950
11/23/2012,28440,28840,28340,28740,22608.25586,12322050
11/26/2012,28840,28860,27980,28080,22089.07813,13749850
11/27/2012,28100,28560,28080,28320,22277.86719,11836200
11/28/2012,28000,28760,27920,28260,22230.67188,14055800
11/29/2012,28040,28440,28040,28280,22246.40625,13073300
11/30/2012,28460,28500,27980,28120,22120.53711,16427600
12/3/2012,28400,28720,28160,28600,22498.13281,10220850
12/4/2012,28640,28680,28400,28600,22498.13281,9504900
12/5/2012,28600,29100,28540,29100,22891.45313,12436400
12/6/2012,29360,29420,28680,29080,22875.7207,14248700
12/7/2012,29000,29960,29000,29600,23284.7832,15882450
12/10/2012,30120,30120,29700,29820,23457.8418,13056100
12/11/2012,29960,29960,29380,29520,23221.8457,12657350
12/12/2012,29460,29920,29460,29800,23442.11133,15244450
12/13/2012,30000,30660,29860,30660,24118.62891,30680500
12/14/2012,30320,30720,30160,30300,23835.43359,13905250
12/17/2012,30020,30480,29940,30060,23646.63281,15511100
12/18/2012,30000,30320,29900,30300,23835.43359,13538450
12/20/2012,30300,30580,29900,30060,23646.63281,20128500
12/21/2012,29860,29920,28800,28840,22686.92578,27576200
12/24/2012,28960,29520,28840,29480,23190.38086,14488550
12/26/2012,29600,30060,29400,29400,23127.44727,14038700
12/27/2012,29400,30000,29400,29920,23657.20117,9143900
12/28/2012,29760,30600,29740,30440,24068.35547,10562750
1/2/2013,30660,31520,30540,31520,24922.29492,11449650
1/3/2013,31640,31680,30860,30860,24400.44531,14227400
1/4/2013,30800,30840,30200,30500,24115.80273,12999800
1/7/2013,30300,30560,30000,30400,24036.73242,12610950
1/8/2013,30260,30340,29960,30000,23720.46289,13822250
1/9/2013,30000,30260,29820,30000,23720.46289,12659950
1/10/2013,30300,30680,30000,30600,24194.86719,14663600
1/11/2013,30960,30960,30140,30660,24242.31445,11913550
1/14/2013,30780,31040,30560,31040,24542.76953,7999950
1/15/2013,31200,31200,30240,30240,23910.22266,10727150
1/16/2013,30280,30520,29660,29840,23593.95508,16221000
